                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2237,                0.62725,                0.78834,                 4.7151,             0.00023761,             0.00023761,             0.00023761
                      2,                 1.3252,                0.61063,                0.78178,                  4.728,             0.00045991,             0.00045991,             0.00045991
                      3,                 1.3406,                   0.62,                0.78202,                  4.716,             0.00066651,             0.00066651,             0.00066651
                      4,                 1.2583,                0.64013,                0.80192,                 4.6905,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.1312,                0.65395,                0.80332,                 4.6759,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.0445,                0.64926,                0.81105,                 4.6736,             0.00059619,             0.00059619,             0.00059619
                      7,                0.95814,                0.64833,                0.81175,                 4.6679,             0.00057263,             0.00057263,             0.00057263
                      8,                0.87519,                0.65207,                0.81175,                 4.6638,             0.00054907,             0.00054907,             0.00054907
                      9,                0.81996,                 0.6605,                0.81901,                 4.6534,              0.0005255,              0.0005255,              0.0005255
                     10,                0.76845,                0.67806,                 0.8244,                 4.6399,             0.00050194,             0.00050194,             0.00050194
                     11,                0.71178,                0.66729,                0.82112,                 4.6415,             0.00047838,             0.00047838,             0.00047838
                     12,                0.67811,                0.67244,                0.82978,                 4.6309,             0.00045482,             0.00045482,             0.00045482
                     13,                0.62936,                0.67244,                0.82861,                  4.635,             0.00043126,             0.00043126,             0.00043126
                     14,                0.57139,                0.68181,                0.83166,                 4.6272,             0.00040769,             0.00040769,             0.00040769
                     15,                0.54136,                0.67923,                0.82697,                 4.6277,             0.00038413,             0.00038413,             0.00038413
                     16,                0.51293,                0.67783,                0.83048,                 4.6221,             0.00036057,             0.00036057,             0.00036057
                     17,                 0.4965,                0.68228,                  0.834,                 4.6191,             0.00033701,             0.00033701,             0.00033701
                     18,                0.47025,                0.68719,                0.83072,                 4.6163,             0.00031345,             0.00031345,             0.00031345
                     19,                0.44398,                0.68298,                0.83774,                 4.6139,             0.00028988,             0.00028988,             0.00028988
                     20,                0.41312,                0.68743,                 0.8354,                 4.6134,             0.00026632,             0.00026632,             0.00026632
                     21,                0.40671,                0.68743,                0.83564,                 4.6125,             0.00024276,             0.00024276,             0.00024276
                     22,                0.37671,                0.69188,                0.84125,                 4.6109,              0.0002192,              0.0002192,              0.0002192
                     23,                0.36263,                0.69773,                0.83517,                 4.6038,             0.00019564,             0.00019564,             0.00019564
                     24,                0.36492,                0.69258,                0.83962,                 4.6069,             0.00017207,             0.00017207,             0.00017207
                     25,                0.33137,                0.69024,                0.83938,                 4.6094,             0.00014851,             0.00014851,             0.00014851
                     26,                 0.3447,                0.69047,                0.83774,                 4.6061,             0.00012495,             0.00012495,             0.00012495
                     27,                0.30834,                0.68743,                0.83821,                 4.6073,             0.00010139,             0.00010139,             0.00010139
                     28,                0.29829,                0.69422,                0.84172,                 4.6032,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.28324,                 0.6996,                0.84196,                 4.6017,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                 0.2798,                0.69492,                 0.8443,                 4.6008,             3.0702e-05,             3.0702e-05,             3.0702e-05
